Name,Web pages,Country,Domains,State Province
Universitas PGRI Adi Buana Surabaya,['http://www.unipasby.ac.id/'],Indonesia,['unipasby.ac.id'],
Universitas Jambi,['http://www.unja.ac.id/'],Indonesia,['unja.ac.id'],
Universitas Negeri Jakarta,['http://www.unj.ac.id/'],Indonesia,['unj.ac.id'],
Universitas Jenderal Achmad Yani,['http://www.unjani.ac.id/'],Indonesia,['unjani.ac.id'],
Universitas Khairun,['http://www.unkhair.ac.id/'],Indonesia,['unkhair.ac.id'],
Universitas Krisnadwipayana,['http://www.unkris.ac.id/'],Indonesia,['unkris.ac.id'],
Universitas Lambung Mangkurat,['http://www.unlam.ac.id/'],Indonesia,['unlam.ac.id'],
Universitas Negeri Makassar,['http://www.unm.ac.id/'],Indonesia,['unm.ac.id'],
Universitas Mahasaraswati Denpasar,['http://www.unmas.org/'],Indonesia,['unmas.org'],
Universitas Merdeka Malang,['http://www.unmer.ac.id/'],Indonesia,['unmer.ac.id'],
Universitas Merdeka Madiun,['http://www.unmer-madiun.ac.id/'],Indonesia,['unmer-madiun.ac.id'],
Universitas Muhammadiyah Jember,['http://www.unmuhjember.ac.id/'],Indonesia,['unmuhjember.ac.id'],
Universitas Muhammadiyah Mataram,['http://www.unmuhmataram.com/'],Indonesia,['unmuhmataram.com'],
Universitas Mulawarman,['http://www.unmul.ac.id/'],Indonesia,['unmul.ac.id'],
STMIK Widya Cipta Dharma,['http://www.wicida.ac.id/'],Indonesia,['wicida.ac.id'],
Universitas Negeri Semarang,['http://www.unnes.ac.id/'],Indonesia,['unnes.ac.id'],
Universitas Negeri Padang,['http://www.unp.ac.id/'],Indonesia,['unp.ac.id'],
Universitas Padjadjaran,['http://www.unpad.ac.id/'],Indonesia,['unpad.ac.id'],
Universitas Pakuan,['http://www.unpak.ac.id/'],Indonesia,['unpak.ac.id'],
Universitas Katolik Parahyangan,['http://www.unpar.ac.id/'],Indonesia,['unpar.ac.id'],
Universitas Pasundan,['http://www.unpas.ac.id/'],Indonesia,['unpas.ac.id'],
Universitas Pattimura,['http://www.unpatti.ac.id/'],Indonesia,['unpatti.ac.id'],
Universitas Ngurah Rai,['http://www.unr.ac.id/'],Indonesia,['unr.ac.id'],
Universitas Mataram,['http://www.unram.ac.id/'],Indonesia,['unram.ac.id'],
Universitas Riau,['http://www.unri.ac.id/'],Indonesia,['unri.ac.id'],
Universitas Sebelas Maret,['http://www.uns.ac.id/'],Indonesia,['uns.ac.id'],
Universitas Darma Persada,['http://www.unsada.ac.id/'],Indonesia,['unsada.ac.id'],
Universitas Siliwangi,['http://www.unsil.ac.id/'],Indonesia,['unsil.ac.id'],
Universitas Jenderal Soedirman,['http://www.unsoed.ac.id/'],Indonesia,['unsoed.ac.id'],
Universitas Sam Ratulangi,['http://www.unsrat.ac.id/'],Indonesia,['unsrat.ac.id'],
Universitas Sriwijaya,['http://www.unsri.ac.id/'],Indonesia,['unsri.ac.id'],
Universitas Swadaya Gunung Djati,['http://www.unswagati-crb.ac.id/'],Indonesia,['unswagati-crb.ac.id'],
Universitas Syiah Kuala,['http://www.unsyiah.ac.id/'],Indonesia,['unsyiah.ac.id'],
Universitas Tadulako,['http://www.untad.ac.id/'],Indonesia,['untad.ac.id'],
Universitas 17 Agustus 1945 Surabaya,['http://www.untag.ac.id/'],Indonesia,['untag.ac.id'],
Universitas 17 Agustus 1945 Banyuwangi,['http://www.untag-banyuwangi.ac.id/'],Indonesia,['untag-banyuwangi.ac.id'],
Universitas 17 Agustus 1945 Cirebon,['http://www.untagcirebon.info/'],Indonesia,['untagcirebon.info'],
Universitas 17 Agustus 1945 Jakarta,['http://www.untag-jkt.org/'],Indonesia,['untag-jkt.org'],
Universitas 17 Agustus 1945 Samarinda,['http://www.untag-smd.ac.id/'],Indonesia,['untag-smd.ac.id'],
Universitas 17 Agustus 1945 Semarang,['http://www.untagsmg.ac.id/'],Indonesia,['untagsmg.ac.id'],
Universitas Tanjungpura,['http://www.untan.ac.id/'],Indonesia,['untan.ac.id'],
Universitas Tarumanagara,['http://www.untar.ac.id/'],Indonesia,['untar.ac.id'],
Universitas Sultan Ageng Tirtayasa,['http://www.untirta.ac.id/'],Indonesia,['untirta.ac.id'],
Universitas Udayana,['http://www.unud.ac.id/'],Indonesia,['unud.ac.id'],
Universitas Wijaya Kusuma Purwokerto,['http://www.unwiku.ac.id/'],Indonesia,['unwiku.ac.id'],
Universitas Negeri Yogyakarta,['http://www.uny.ac.id/'],Indonesia,['uny.ac.id'],
Universitas Proklamasi 45,['http://www.up45.ac.id/'],Indonesia,['up45.ac.id'],
Universitas Pelita Harapan,['http://www.uph.edu/'],Indonesia,['uph.edu'],
Universitas Pendidikan Indonesia,['http://www.upi.edu/'],Indonesia,['upi.edu'],
"Universitas Pembangunan Nasional ""Veteran"" Jakarta",['http://www.upnvj.ac.id/'],Indonesia,['upnvj.ac.id'],
"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",['http://www.upnjatim.ac.id/'],Indonesia,['upnjatim.ac.id'],
"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",['http://www.upnyk.ac.id/'],Indonesia,['upnyk.ac.id'],
Universitas Palangka Raya,['http://www.upr.ac.id/'],Indonesia,['upr.ac.id'],
Universitas Pancasakti Tegal,['http://www.upstegal.ac.id/'],Indonesia,['upstegal.ac.id'],
Universitas Sanata Dharma,['http://www.usd.ac.id/'],Indonesia,['usd.ac.id'],
Universitas Simalungun,['http://www.usi.ac.id/'],Indonesia,['usi.ac.id'],
Universitas Semarang,['http://www.usm.ac.id/'],Indonesia,['usm.ac.id'],
Universitas Sumatera Utara,['http://www.usu.ac.id/'],Indonesia,['usu.ac.id'],
Universitas Terbuka Indonesia,['http://www.ut.ac.id/'],Indonesia,['ut.ac.id'],
Universitas Tidar Magelang,['http://www.untidar.ac.id/'],Indonesia,['untidar.ac.id'],
Universitas Tunas Pembangunan,['http://www.utp.ac.id/'],Indonesia,['utp.ac.id'],
Universitas Widya Gama Malang,['http://www.widyagama.ac.id/'],Indonesia,['widyagama.ac.id'],
Universitas Katolik Widya Karya,['http://www.widyakarya.ac.id/'],Indonesia,['widyakarya.ac.id'],
Universitas Widyatama,['http://www.widyatama.ac.id/'],Indonesia,['widyatama.ac.id'],
Universitas Wijaya Kusuma Surabaya,['http://www.wijayakusumasby.ac.id/'],Indonesia,['wijayakusumasby.ac.id'],
Universitas Katolik Widya Manadala,['http://www.wima.ac.id/'],Indonesia,['wima.ac.id'],
Universitas Wisnuwardhana,['http://www.wisnuwardhana.ac.id/'],Indonesia,['wisnuwardhana.ac.id'],
Universitas Persada Indonesia Y.A.I,['http://www.yai.ac.id/'],Indonesia,['yai.ac.id'],
Universitas Yarsi,['http://www.yarsi.ac.id/'],Indonesia,['yarsi.ac.id'],
Duta Bangsa University,['https://udb.ac.id/'],Indonesia,['udb.ac.id'],
Akademi Farmasi Yarsis Pekanbaru,['https://akfaryarsiptk.ac.id'],Indonesia,['akfaryarsiptk.ac.id'],
